time, x, y, heading, vel_x, vel_y, vel_heading,
1.232, 0.0844795, 0.00134575, 0.00771655, 0.0646883, 0.00049987, -0.000906276, 
1.24, 0.084997, 0.00134974, 0.00770923, 0.0646884, 0.000499312, -0.000914639, 
1.248, 0.0855145, 0.00135373, 0.00770186, 0.0646885, 0.000498767, -0.000921409, 
1.256, 0.0860303, 0.0013577, 0.00769857, 0.0644711, 0.000496557, -0.000411264, 
1.264, 0.086546, 0.00136167, 0.00769531, 0.0644704, 0.000496319, -0.000407897, 
1.272, 0.0870618, 0.00136564, 0.00769206, 0.0644703, 0.000496091, -0.000405872, 
1.28, 0.0875775, 0.00136961, 0.00768883, 0.0644702, 0.000495869, -0.000404144, 
1.288, 0.0881736, 0.00137977, 0.00816494, 0.074513, 0.00126965, 0.0595146, 
1.296, 0.0887702, 0.00140398, 0.00864427, 0.0745692, 0.00302623, 0.0599163, 
1.304, 0.0893668, 0.00143078, 0.00912449, 0.0745768, 0.00334995, 0.0600269, 
1.312, 0.0899634, 0.00145694, 0.00960564, 0.074579, 0.00327025, 0.0601443, 
1.32, 0.0904737, 0.00146202, 0.00961501, 0.0637863, 0.000634824, 0.00117055, 
1.328, 0.0909837, 0.00146699, 0.0096241, 0.0637509, 0.000622333, 0.00113643, 
1.336, 0.0914937, 0.00147195, 0.00963303, 0.0637439, 0.000620012, 0.00111685, 
1.344, 0.0920036, 0.00147691, 0.00964192, 0.0637415, 0.000619086, 0.00111144, 
1.352, 0.0925138, 0.00148186, 0.00960418, 0.063776, 0.00061905, -0.00471834, 
1.36, 0.093024, 0.00148763, 0.0095644, 0.0637761, 0.000721691, -0.00497158, 
1.368, 0.0935343, 0.00149427, 0.00952273, 0.0637764, 0.00082974, -0.00520927, 
1.376, 0.0940445, 0.00150161, 0.00947953, 0.0637767, 0.00091703, -0.00540044, 
1.384, 0.0945619, 0.00150653, 0.00947706, 0.0646765, 0.000615364, -0.000308604, 
1.392, 0.0950793, 0.00151144, 0.00947469, 0.0646796, 0.000613805, -0.000295879, 
1.4, 0.0955968, 0.00151635, 0.00947232, 0.0646803, 0.000613371, -0.000295945, 
1.408, 0.0961142, 0.00152125, 0.00946995, 0.0646806, 0.000613077, -0.0002966, 
1.416, 0.0966146, 0.00152599, 0.00944944, 0.0625472, 0.000592607, -0.00256364, 
1.424, 0.0971149, 0.00153106, 0.00942813, 0.062538, 0.000633201, -0.002664, 
1.432, 0.0976152, 0.00153646, 0.00940603, 0.0625364, 0.000675689, -0.00276192, 
1.44, 0.0981155, 0.00154214, 0.00938331, 0.0625359, 0.00070989, -0.00284083, 
1.448, 0.0987279, 0.00155725, 0.00994374, 0.0765578, 0.00188894, 0.0700545, 
1.456, 0.0993412, 0.00159274, 0.0105097, 0.0766641, 0.00443618, 0.070739, 
1.464, 0.0999546, 0.00163267, 0.0110769, 0.0766749, 0.00499025, 0.0709075, 
1.472, 0.100568, 0.00167247, 0.0116456, 0.076678, 0.00497578, 0.0710847, 
1.48, 0.10108, 0.00167868, 0.0116392, 0.0639411, 0.000775769, -0.000804885, 
1.488, 0.101591, 0.00168472, 0.0116323, 0.0639, 0.0007553, -0.000858047, 
1.496, 0.102102, 0.00169073, 0.0116251, 0.0638923, 0.000750817, -0.000897582, 
1.504, 0.102613, 0.00169671, 0.0116177, 0.0638895, 0.000748415, -0.00092109, 
1.512, 0.103114, 0.00170257, 0.0116073, 0.0626338, 0.000732111, -0.00130936, 
1.52, 0.103615, 0.00170842, 0.0115966, 0.0626298, 0.000730446, -0.00132972, 
1.528, 0.104116, 0.00171425, 0.0115859, 0.0626294, 0.00072902, -0.00133898, 
1.536, 0.104617, 0.00172007, 0.0115752, 0.0626296, 0.00072775, -0.00134411, 
1.544, 0.105124, 0.00172681, 0.0115313, 0.0634018, 0.000842047, -0.00548531, 
1.552, 0.105632, 0.00173366, 0.0114864, 0.0634055, 0.000857269, -0.00561002, 
1.56, 0.106139, 0.00174157, 0.0114408, 0.0634064, 0.00098869, -0.00570267, 
1.568, 0.106646, 0.00175084, 0.0113946, 0.0634069, 0.00115838, -0.00577746, 
1.576, 0.107154, 0.00175784, 0.0113713, 0.0635079, 0.000875247, -0.00290261, 
1.584, 0.107662, 0.00176498, 0.0113478, 0.0635086, 0.000892072, -0.00293702, 
1.592, 0.10817, 0.00177226, 0.011324, 0.0635087, 0.000909679, -0.0029753, 
1.6, 0.108678, 0.00177965, 0.0113, 0.0635088, 0.000923898, -0.00300619, 
1.608, 0.10918, 0.00178952, 0.0112065, 0.0627463, 0.00123371, -0.0116912, 
1.616, 0.109682, 0.00180225, 0.0111125, 0.062743, 0.00159114, -0.0117393, 
1.624, 0.110184, 0.00181695, 0.0110185, 0.0627425, 0.00183788, -0.0117556, 
1.632, 0.110686, 0.00183339, 0.0109244, 0.0627424, 0.00205521, -0.0117683, 
1.64, 0.111296, 0.00185923, 0.0114843, 0.0762723, 0.00322941, 0.069987, 
1.648, 0.111913, 0.00190464, 0.0120715, 0.0770258, 0.00567626, 0.0734054, 
1.656, 0.112529, 0.00195523, 0.0126604, 0.0770392, 0.00632426, 0.0736178, 
1.664, 0.113145, 0.00200588, 0.013251, 0.0770425, 0.00633086, 0.0738217, 
1.672, 0.113654, 0.00201291, 0.0132498, 0.063621, 0.000879234, -0.000154184, 
1.68, 0.114163, 0.00201974, 0.0132482, 0.0635778, 0.000854008, -0.000202139, 
1.688, 0.114671, 0.00202654, 0.0132463, 0.0635696, 0.000849389, -0.0002327, 
1.696, 0.11518, 0.00203332, 0.0132443, 0.0635667, 0.000847334, -0.000249128, 
1.704, 0.115682, 0.00204126, 0.0132058, 0.0627527, 0.000992778, -0.00481698, 
1.712, 0.116184, 0.00204993, 0.0131656, 0.062749, 0.00108327, -0.0050266, 
1.72, 0.116686, 0.00205913, 0.0131241, 0.0627487, 0.00115063, -0.00517826, 
1.728, 0.117188, 0.00206878, 0.0130817, 0.0627488, 0.0012056, -0.00529933, 
1.736, 0.117701, 0.0020778, 0.0130471, 0.0641287, 0.00112746, -0.00433395, 
1.744, 0.118214, 0.00208609, 0.0130119, 0.0641351, 0.00103642, -0.00440153, 
1.752, 0.118727, 0.00209519, 0.0129761, 0.0641365, 0.00113832, -0.00446351, 
1.76, 0.11924, 0.00210488, 0.01294, 0.064137, 0.00121045, -0.00451528, 
1.768, 0.119749, 0.00211477, 0.0129028, 0.0636438, 0.0012372, -0.00465567, 
1.776, 0.120259, 0.00212479, 0.0128653, 0.0636418, 0.00125206, -0.00468999, 
1.784, 0.120768, 0.00213487, 0.0128275, 0.0636415, 0.00126035, -0.00471509, 
1.792, 0.121277, 0.00214501, 0.0127897, 0.0636414, 0.00126699, -0.00473539, 
1.8, 0.121898, 0.00216467, 0.0132925, 0.0776279, 0.00245775, 0.0628608, 
1.808, 0.12252, 0.00220455, 0.0138012, 0.0777398, 0.00498512, 0.0635803, 
1.816, 0.123142, 0.00224877, 0.0143115, 0.0777504, 0.00552704, 0.0637937, 
1.824, 0.123764, 0.00229279, 0.0148235, 0.0777538, 0.00550244, 0.0639969, 
1.832, 0.124339, 0.00230193, 0.0147907, 0.0718396, 0.00114211, -0.00410108, 
1.84, 0.124913, 0.00231177, 0.0147554, 0.0718141, 0.00123047, -0.00441711, 
1.848, 0.125487, 0.00232212, 0.0147188, 0.0718086, 0.00129418, -0.00456456, 
