time, light, accx, accy, accz,
5.152, 1.97081, -0.0297311, -0.00465283, 9.79277, 
5.184, 1.96798, -0.0259471, 0.0605062, 9.76038, 
5.216, 1.98452, -0.049879, 0.000864585, 9.79481, 
5.248, 1.98602, 0.0730251, 0.0645731, 9.769, 
5.28, 1.99901, 0.0898285, -0.0244803, 9.77201, 
5.312, 2.00011, 0.0430511, -0.0440473, 9.7884, 
5.344, 1.99485, 0.00903678, -0.0247186, 9.74138, 
5.376, 1.99499, -0.0204995, -0.0110362, 9.87665, 
5.408, 2.01777, 0.000971875, 0.0398968, 9.83466, 
5.44, 1.99394, -0.0139928, 0.015255, 9.80429, 
5.472, 2.00041, -0.115362, 0.0109679, 9.8189, 
5.504, 2.00596, -0.0444873, -0.0579295, 9.83165, 
5.536, 2.01305, 0.0100523, 0.00157768, 9.78234, 
5.568, 2.03448, -0.0383539, 0.0417048, 9.83927, 
5.6, 2.02453, -0.0302451, 0.0294749, 9.86318, 
5.632, 2.01508, 0.089376, -0.0105271, 9.83087, 
5.664, 2.04922, 0.0204172, -0.0446885, 9.73336, 
5.696, 2.04301, 0.0612639, 0.052289, 9.81325, 
5.728, 2.03829, 0.0356514, 0.00351178, 9.82496, 
5.76, 2.04148, 0.0491544, -0.0942263, 9.83217, 
5.792, 2.06556, 0.0134319, 0.0721831, 9.76583, 
5.824, 2.04401, 0.0607953, -0.038982, 9.77814, 
5.856, 2.05738, -0.0187704, -0.0902861, 9.72567, 
5.888, 2.06679, -0.0200816, -0.0563093, 9.82736, 
5.92, 2.07377, 0.0850027, -0.0212061, 9.77895, 
5.952, 2.07265, -0.0247722, -0.0449223, 9.83115, 
5.984, 2.08319, -0.0398574, -0.0395136, 9.83092, 
6.016, 2.08348, 0.0396232, 0.00790692, 9.85113, 
6.048, 2.08007, 0.00262458, 0.0529061, 9.81993, 
6.08, 2.08772, -0.0619477, -0.0772329, 9.78808, 
6.112, 2.09047, -0.0659559, -0.122067, 9.89198, 
6.144, 2.10027, -0.0962431, -0.0640977, 9.80274, 
6.176, 2.09025, 0.0910647, -0.0408241, 9.79046, 
6.208, 2.10419, -0.0168636, -0.0391282, 9.82551, 
6.24, 2.10417, 0.0150728, -0.0564661, 9.80712, 
6.272, 2.10658, -0.0713599, 0.0046287, 9.84907, 
6.304, 2.12863, -0.0569801, 0.0143354, 9.86499, 
6.336, 2.1127, -0.0237037, -0.0651343, 9.8822, 
6.368, 2.11902, 0.0908517, -0.0579245, 9.83289, 
